ID;Regiao intermediaria;Regiao imediata;Municipio;Região Urbana;Bairro
318;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Olinda
319;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Oriente
320;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Palmira
321;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Vila Piratininga
322;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Planalto
323;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Popular
324;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Vila Progresso
325;Campo Grande;Campo Grande;Campo Grande;Prosa;Vila Rica
326;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Rosa Pires
327;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Santa Dorotheia
328;Campo Grande;Campo Grande;Campo Grande;Segredo;Vila Santa Luzia
329;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Santo Amaro
330;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Santo Eugenio
331;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Sao Gabriel
332;Campo Grande;Campo Grande;Campo Grande;Lagoa;Vila Sao Jorge Da Lagoa
333;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Serradinho
334;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Silvia Regina
335;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Sobrinho
336;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Vila Taquarussu
337;Campo Grande;Campo Grande;Campo Grande;Lagoa;Vila Taveiropolis
338;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Vilas Boas
339;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vilasboas
340;Campo Grande;Campo Grande;Campo Grande;Prosa;Vivendas Do Bosque
341;Campo Grande;Campo Grande;Corguinho;Corguinho;Centro
342;Campo Grande;Campo Grande;Corguinho;Corguinho;Condominio Zigurats
343;Campo Grande;Campo Grande;Corguinho;Corguinho;Jose Martins Ferreira
344;Campo Grande;Campo Grande;Corguinho;Corguinho;Loteamento Recanto Dos Pintados
345;Campo Grande;Campo Grande;Corguinho;Corguinho;Recanto Dos Pintados
346;Campo Grande;Campo Grande;Dois Irmaos do Buriti;Dois Irmaos do Buriti;Area Rural De Dois Irmaos Do Buriti
